Node ID,Speaker,Text,Next Node ID
2,Jess,Hey| welcome to Information and Technology Secure Support System Solutions! ,2
3,You,Wow| what a name…,3
4,Jess,…Yeah| I know… it's a bit of a touchy subject with the higher ups so maybe don’t mention it.,4
5,Jess,For brevity  we call ourselves ITS4.,5
6,Jess,Let's get you aquainted with the team.,6
7,Jess,You already know me| I'm one of the senior project officers.,7
8,Jess,This here is Evan Fisher| he'll be your number two for anything managirial.,8
9,Evan,It's a pleasure to meet you|I've heard all about your record and I am very excited to be working under you!,9
10,You,I'm looking forward to working with you too.,10
11,Jess,Next| this is Olivia Finch| she's one of the best technical minds I've ever met.,11
12,Olivia,Ha| Thanks Jess.,12
13,Olivia,Stay out of my work and I'll get anything done for you| got it?,13
14,You,As your manager I can't make such a promise.,14
15,Olivia,Fine| just don't try to micro-manage me.,15
16,Jess,Moving along… we have Wilson Shumer| he runs operational support.,16
17,Wilson,Hi.  *Wilson nervously avoids eye contact*,17
18,You,No need to be shy| I don't bite.,18
19,Wilson,*Wilson has already focused back into his work*,19
20,Jess,Lastly we have …,20
21,Frank,Frank Waters| senior project officer.  It's a pleasure to make your aquaintance.,21
22,You,Hello Frank| looking forward to working with you.,22
23,Jess,And that's the team.  Day to day you'll be required to make decisions on how things are run.  ,23
24,Jess,ITS4 is not in the greatest shape right now so just do your best to help the company and the team succeed.,24
25,Jess,You got this! You'll do great!,25
26,Jess,Alrighty| I'll leave you to it.,26
27,???,*Your desk phone is ringing*,27
28,John Bossman,Hello| this is John Bossman. You must be the new manager| I am the CEO of ITS4 and you'll be reporting to me directly.,28
29,You,Good to meet you John.,29
30,John Bossman,Let's get down to business| this branch is losing money and I don’t like losing money.,30
31,John Bossman,You have two months to turn this around otherwise we're shutting you down. So get to it.,31
32,You,What? That's not enough… *click the line drops* … time.,32
33,You,Well I guess I better get to it.,-1
